Metin_Veri,Kategori
"Senariste lafım Rain Man filmini taklit ederek senaryo yazılmaz. Yönetmene lafım, filmin sonunda milleti ağlatmak için türlü şaklabanlıklara girilmez. Son olarak yağmur sahnesini millet anlamaz bak ben bunu itfaiye hortumuyla sağlıyorum görün diye gösterilmez. Tüm bunları göremeyen izleyicilerde, sakın bana film harika demesin",negatif
Çıkış zamanı itibariyle hassas bir dönemden geçtiği için ülkemiz bu film bu kadar gişe yaptı. İnsanlar milliyetcilik duygularıyla akın ettiler sinemalara ama öyle ahım şahım bi film değil. Konu yok olaylar arası bağlantı yok görsellik yok sahneler çok uzundu. Bari sonu güzel bağlansın diye umut ettim fakat o da tam bir fiyaskoydu.,negatif
"eğer birazcık filmden anlıyorsam bu film beş para etmez. Tam bir hayal kırıklığı, sadece insanların duygularını sömürüp paraları cebe atmak için yapılmış bi film. Filmde iki tane sahne var onlar da fragmana koymak için yapılmış sanırım, gerisi boş sahneler onlarıda uzatmışlar da uzatmışlar. Kesinlikler tavsiye etmiyorum.",negatif
"Türk askeri ayaklar altında ezilirken sıkıştıkları köşede faltaşı gözlerle izleyenlere, Türk askerinin son nefesinin propagandasını yapan bir filmi böyle alkışladık. buraya ilk yazılan yorumardan birinde, bir arkadaş demişti ki; bu film bize ihanettir. Haklıymış. Tüm olumlu eleştirilerimi geri alıyor ve filmin tamamiyle maksatlı bir amaç uğruna yapıldığını belirtiyorum... Sinemasal değeri bile yok ve bir terör örgütünü Türk ordusu ile, bir teröristi de Türk askeri ile kıyaslayıp, teörist başını mistik bir kahraman gibi gösteren bu filmi yapanları kınıyorum.",negatif
"Sıkıldım,kelimenin tam anlamıyla acıdım verdiğim paraya. Filmi tekrar tekrar izlemek istediklerini söyleyen ünlü yorumculara başarılar diliyorum. Biz hayatımızı onlar kadar kolay kazanamıyoruz. Zaten ayda 1 kez zar zor ailecek sinemaya gidiyoruz, o film de hayalkırıklığı çıkınca üzülüyoruz.",negatif
Hayatımda bu kadar Amerikan özentisi savaş filmi taklidi görmedim. Drama yapacağım diye senaryoyu berbat etmişler. Tam propaganda. Neye kime yaranıyorlar bilmem. Puan bile haketmiyor. Yazık harcanan paraya. Fragmanından bile kaçasım geldi.,negatif
bizzat gittim ve izledim. o kadar reklama yazık bence. filmde gülünecek yada beğenilecek tek kare yok. gidip paranızı çöpe atmayın.,negatif
"Filmin oldukça iyi bir konusu olmasına rağmen, işleniş, ilerleyiş, anlatım ve final kesinlikle yerine oturmamış. Şayet ben finalde büyük hayal kırıklığına uğradım. Finali seyirciye iyi yansıtamadıklarını düşünüyorum, gereksiz replikler kullanılmış. Finale giriş, etki tepki olgusu, o andaki duygusal yükseliş seyirciye daha iyi nakledilebilirdi.",negatif
"İnanamadım müthiş bir kadro, müthiş bir ekip (yönetmen, senarist, yapımcılar) her şey güzel ama resmen fiyasko bir film. Adeta oldu bittiye getirilmiş, romantizm deseneniz romantizm değil, siyasi desenesiz o değil adeta ne idüğü belirsiz saçma sapan bir iş olmuş. Böyle ekip ama öyle bir film gerçekten çok yazık olmuş. Beren Saatın performansı da ayrıca kötü.",negatif
normalde filmlere yapılan olumsuz eleştirilere karşı biriyim. sonuçta o kadar emek harcanmış. ama bu filmde o emeğin harcandığını düşünmüyorum. aceleye gelmiş oldu bittiye getirilmiş bir film. çıktığınızda ve film bana ne verdi diye kendinize sorduğunuzda cevabınız koca bir hiç olacak. tamamen beren saatin popülaritesi üzerine kurulmuş. Serdar Akar ve Mahsun Kırmızıgül'den hiç beklemezdim bu tarz bir film.,negatif
"Bunun adı film ise, biz her gün bunlardan 7-8 tane çekeriz. Ömrüm bitti film bitmedi, bari birşey anlatılsa. Hayatımda bu kadar kötü film görmedim ve hayatımda hiç bir film için yorum yapmamıştım, ama bu seferki efsane derecede kötü olduğu için bunları yazmam gerekirdi. Bu tarz filmlere gidip paranıza zamanınıza ve gözlerinize yazık etmeyin. Üstelik bizim paralarımızı alıp, sanacaklar ki çok beğendik, yeni bir film daha çekip yine bize eziyet çektirecekler. Türk sineması adına üzüldüm.",negatif
"Arkadaşlar, tüm yorumları okuyamadım, belki farkeden olmuştur daha önce ama; bu filmin senaryosu Yağmur Adam filminin birebir aynısı. Bir de kalkıp Türk filmlerine destek olalım falan demeyin. Bariz bir şekilde alıntı var. Buyurun, inceleyin",negatif
"Yorumlarda genel olarak kötü türk filmlerinden yakınılıyor. Bu film için de aynı şikayetler dikkat çekiyor. Ama yorum yazanlar genelde bu tür basiretsiz sinema denemelerini yapanlara kızıyor. Ceplerini parayla doldurmak isteyenlere kızmayalım, onların fazlasıyla basit çarklarına su taşıyan biz akılsızlara, kısacası kendi kendimize kızalım. Seyirci nerede kötü, bayat, arsız bir film var koşuyor. Haydi hayırlısı. Bu işin sonu 1980'lere benzeyecek. Türk sineması yakında göçer. Ticari film, ticari film diye yırtınan yapımcı ve dağıtımcı şirketler bu işi bir daha düşünsünler. Böyle ticaret olmaz çünkü.",negatif
"Mutsuz olmak istiyorsanız gidin. Çok kötü bir film olmuş, filmden öte çok kötü bir hikayesi var. Tabiri caizse basılmaması gereken bütün notalara basıyor film. Baştan sona detone bir şarkıyı dinlemek kadar rahatsız edici. Basit aşklarıyla basit bir film.",negatif
Filmi az önce izledim. Tuna Kiremitçi'ye teşekkür edeceğim tek konu filmi kısa çekmesiydi çünkü film biraz daha uzasaydı çıkmak zorunda kalacaktım. Tüm samimiyetimle söylüyorum ki hayatımda daha kötü bir film izleyebileceğimi zannetmiyorum. Lütfen yapımcılardan rica ediyorum böyle filmler çekip insanları Türk filmi izlemekten soğutmasınlar. Ayrıca oyuncuları da bir türlü anlayamadım ekonomik açıdan bu kadar mı kötü durumdaydınız ki böyle bir filmde rol almayı kabul ettiniz?,negatif
"Bir ilk film olarak çok zayıf kalmış, bir yönetmenin yapması gerekenlerin hiçbirini yapamayarak projesine sahip çıkamamış. İlk olarak senaryoyu ele alırsak; bir yazar olarak senaryoyu nasıl bu kadar zayıf yazmış anlayamadım. Konu sevilir veya sevilmez ama en azından tutarlı bir tarafı olur. Ne anlatmaya çalıştığını tam anlatabilmiş ne derinlemesine karakter tahlili yapabilmiş, hiçbir şey yok. Daha filmin ilk yarısında nereye gideceği belliydi. Yani iki insan arasındaki elektriklenme bu kadar mı basit bu kadar mı yavan anlatılır. Olmamış olamamış ve olmayacak da! Bence kendisinin son filmi olur. Sinemada popülizme ve seyirci kandırmaya hayır. Yazık harcanan 2 saatime üzüldüm.",negatif
"Olumsuz eleştirilerin tamamına katılıyorum. Amaçsız, kalitesiz, bir kaç ünlü oyuncunun bir araya getirilmesiyle meydana getirilmiş bir fiyasko!  Türk sineması tam yükselişe geçti denirken böyle kötü filmlerin salonlarda yer alması hayra alamet değil!  Çünkü seyirci bu tür filmler gelmeye devam ederse Türk sinemasına yine sırtını döner.",negatif
"Böyle bir oyuncu kadrosunun olduğu bir komedi filmin bu kadar vasatın altında olacağını düşünemezdim. Gerçekten yazık olmuş bence özellikle Şafak Sezerin şu an kadar oynadığı roller arasında en kötüsü, Aydemir Akbaşın performansı filmi kurtarmaya yetmiyor.",negatif
basit türk filmlerinden bir tane daha. artık şafak sezer böyle kalitesiz esprili filmleri yapmasın. ülkemizin sinemasının gelişmesi için daha iyi kurgulu ve düşündürücü senaryolar lazım. hem komedi hem de diğer türler için de geçerli bu.,negatif
Filmin fragmanını bile izlemedim. Çünkü filmin tamamen gişe için çekilen ünlü oyuncu yığını filmlerden biri olduğunu tahmin etmek zor değil. Merak ediyorum bu filmi izleyip de olumsuz yorum yazanlar ne bekliyorlardı? Sonucun hayal kırıklığı olacağını kestirmek bu kadar zor mu? Türk sineması ciddi bir kalitesizlik girdabında. Saçma sapan filmler yüzünden 70li yılları bile özler olduk.,negatif
"Emek desen emek yok, sanat desen sanat yok, senaryo oyunculuk zaten yok. Yok olan birşeye bakmaya da gerek yok. Türk sinemasına destek bu tür filmlerin gişelerini yükseltmekle olmaz. Festivallerde sayısız ödül alan filmler bir kaç ilde vizyona girerken ve biz izleyemezken böyle filmler 200 300 kopya ile vizyonda oluyor.",negatif
Buradan yorumları okuduğumda gitmemeye karar vermiştim. Geçenlerde arkadaşımın doğum günüydü. Bu filme gitmek isteyince kıramadım. Sonuçta hep beraber sıkıldık. Tavsiye etmiyorum.,negatif
Filmi hiç beğenmedim hatta çok fazla duygu sömürüsüne kaçırılmış. Zaten Mustafa Üstündağ (halen Muroda kalmış oyunculuğu) ve Levent Üzümcü iyi bir ikili oluşturamadığı gibi Levent Üzümcünün performansı çok kötü adeta bir zeka özürlüyle alay eder gibi oynamış. Film en büyük handikapı ise çok fazla Rain Man filmine özenilmiş olması.,negatif
