Haber,Tahmin,Tahmin Etiketi
"Samsung s23 akıllı telefonu kamera açısından bir çok yenilik getirdi. Rakip cihaz olarak görülen iphone 14 ile kıyaslandığında ise aradaki fark gözle görülür bir şekilde bariz.Kripto para piyasalarında yaşanan yükselişle birlikte, öncü dijital para birimi Bitcoin, 60,000 dolar seviyesini aşarak tarihi bir rekora imza attı. Yatırımcılar, dijital varlıklara olan ilginin arttığı bu dönemde piyasadaki gelişmeleri yakından takip ediyor.",0,ekonomi
"Şehirde düzenlenen uluslararası film festivali başlıyor. Festival kapsamında dünya çapından öne çıkan bağımsız filmler, belgeseller ve sanatçıların katılımıyla sinemaseverlerle buluşacak.",1,kultur-sanat
"Futbol liginde zirve yarışı kızışıyor. İki önemli rakip takım arasındaki karşılaşma, şampiyonluk yolunda kritik bir maç olarak öne çıkıyor.",5,spor
"Sevilen bir oyuncu, yeni bir sinema projesi için kamera karşısına geçti. Film, oyuncunun farklı bir karakterle izleyicilerle buluşacağı bir dram türünde olacak.",2,magazin
"Şehirdeki bir sanat galerisi, çağdaş heykel sanatının en iyi örneklerini sergilemek üzere kapılarını açtı. Sergide yer alan heykeller, sanatseverlere farklı malzeme ve tekniklerle oluşturulmuş çeşitli eserleri keşfetme fırsatı sunuyor.",1,kultur-sanat
"Klasik müzik tutkunları için düzenlenen bir festival, ünlü bir orkestra ve solistleri ağırlıyor. Festival kapsamında, klasik repertuarın yanı sıra çağdaş bestecilere ait eserler de dinleyicilerle buluşacak.",1,kultur-sanat
"Uluslararası bir tenis turnuvasında, sıralamada altta yer alan bir oyuncu, favori olarak gösterilen rakibini yenerek sürpriz bir zafer elde etti.",5,spor
"Ülke, gelecek yıl düzenlenecek olan Yaz Olimpiyatları için hazırlıklarını hızlandırıyor. Sporcular, antrenman ve kamplarla kendilerini en iyi şekilde hazırlayarak uluslararası arenada ülkelerini temsil etmeye hazırlanıyor.",5,spor
"Ülke, gelecek yıl düzenlenecek olan Yaz Olimpiyatları için hazırlıklarını hızlandırıyor. Sporcular, antrenman ve kamplarla kendilerini en iyi şekilde hazırlayarak uluslararası arenada ülkelerini temsil etmeye hazırlanıyor.",5,spor
"Bir e-ticaret devi, yerel küçük işletmelerin dijital dönüşümüne katkı sağlamak amacıyla yeni bir destek programını başlattı. Program kapsamında, küçük işletmelere dijital pazarlama, e-ticaret platformlarına entegrasyon ve lojistik konularında eğitim ve kaynak sağlanacak.",0,ekonomi
"Sevilen bir oyuncu, yeni bir sinema projesi için kamera karşısına geçti. Film, oyuncunun farklı bir karakterle izleyicilerle buluşacağı bir dram türünde olacak.",2,magazin
"Bir moda ikonu, sürdürülebilir moda ve çevre dostu üretim konularında farkındalığı artırmak amacıyla bir kampanyaya katıldı. Moda dünyasındaki etkisiyle, çevre dostu ve adil üretim konularında toplumsal bilinç oluşturmayı hedefliyor.",0,ekonomi
