Yorum,Tahmin Sınıfı,Tahmin Etiketi
"Trendyol Süper Lig'de derbide Beşiktaş ile mücadele eden Fenerbahçe'nin futbolcusu Samet Akaydın'a sarı-lacivertli taraftarlardan tepki yağıyor.PENALTI YAPTIRDIBeşiktaş'ın futbolcusu Cenk Tosun'u ceza sahasıda düşüren Samet Akaydın, hem penaltı yaptırdı hem de sarı-kart gördü.TARAFTAR ATEŞ PÜSKÜRÜYORÖnde olduğu maçta gol yiyen sarı-lacivertliler Samet Akaydın'ın penaltıya sebep olmasına sosyal medyadan çok sert tepki gösterdi.İşte o tepkilerden bazıları; Kaynak: Haberler.com /  Spor  Samet Akaydın Fenerbahçe Beşiktaş Spor Haberler,
",5,spor
"Gaziantep Büyükşehir Belediye Başkanı  Fatma Şahin, 7. İstanbul  Ekonomi Zirvesi'nde ödül alırken, yönettiği şehirde ise sağanak yağış hayatı durma noktasına getirdi. Yağış nedeniyle cadde ve sokaklar sular altında kaldı, vatandaşlar zor anlar yaşadı.FATMA ŞAHİN'E EKONOMİ ZİRVESİ'NDE ÖDÜL Gaziantep Büyükşehir Belediye Başkanı  Fatma Şahin, İstanbul'da ""Sürdürülebilir Yaşam ve Akıllı Şehirler"" temasıyla düzenlenen 7. İstanbul Ekonomi Zirvesi'ne katıldı. Programda konuşma yapan Fatma Şahin bir de ödül aldı. Şahin yaptığı paylaşımda, ""Sürdürülebilir Yaşam ve Akıllı Şehirler temasıyla düzenlenen 7. İstanbul Ekonomi Zirvesi açılış programına katıldım.  Gaziantep Büyükşehir Belediyesi olarak yaptığımız çalışmaları ve deneyimlerimi anlattım. Dirençli, güvenilir, akıllı, iklim ve çevre dostu Gaziantep Türkiye Yüzyılı'na hazır."" ifadelerini kullandı.İSTANBUL'DA ÖDÜL ALIRKEN GAZİANTEP'İ SULAR BASTIFatma Şahin İstanbul'da ödül alırken, yönettiği şehir Gaziantep'te ise felaket görüntüleri kaydedildi. Sağanak yağışın etkili olduğu Gaziantep'te hayat felç oldu. Cadde ve sokaklar suyla dolarken, çok sayıda araç köprülü kavşaklarda mahsur kaldı. Seyrantepe Mahallesi'ndeki Çimento Kavşağını su basması nedeniyle araçlar sular altında kaldı, vatandaşlar mahsur kaldı.Kaynak: Haberler.com /  Doğal Afetler  Gaziantep Büyükşehir Belediyesi Fatma Şahin Gaziantep Doğal Afetler 3. Sayfa Yaşam Politika Güncel Haberler,
",0,ekonomi
"Ekim ayında İsrail-Hamas çatışmalarının başlamasıyla 95 dolara kadar çıkan brent petrol, daha sonra sert bir düşüş yaşadı. 74 dolara kadar gerileyen petrol fiyatları son 5 ayın en dip seviyelerinde işlem görüyor. Bu gelişme sonrası akaryakıta peş peşe indirimler geldi. Seri indirimlerin ardından benzinin litresi 33 lira seviyelerine, motorinin litresi ise 36 lira seviyelerine geriledi.AKARYAKIT FİYATLARINA 3 GÜN ÜST ÜSTE İNDİRİMPetrol fiyatlarının düşmesi nedeniyle motorinde 7 Aralık Perşembe günü 1 lira 34 kuruş, 8 Aralık Cuma günü ise 88 kuruşluk bir fiyat düşüşü oldu. Bugün ise benzinin litresine 1 lira 65 kuruş indirim geldi. BENZİN VE MOTORİNİN LİTRESİ KAÇ LİRA?İndirimlerin ardından benzinin litresi İstanbul'da 32 lira 96 kuruşa, Ankara'da 33 lira 66 kuruşa, İzmir'de ise 33 lira 78 kuruşa düştü.Motorinin litresi ise İstanbul'da İstanbul'da 35 lira 46 kuruşa, Ankara'da 36 lira 8 kuruşa, İzmir'de 36 lira 29 kuruşa geriledi.AKARYAKIT FİYATLARI NASIL HESAPLANIYOR?Türkiye'de benzin ve motorin fiyatları hesaplanırken; Gümrüksüz rafineri fiyatına ÖTV ve EPDK payının eklenmesiyle KDV hariç Rafineri satış fiyatı bulunuyor. Gümrüksüz Rafineri Fiyatı hesaplanırken ise, Akdeniz-İtalyan piyasasında yayınlanan günlük CIF Akdeniz ürün fiyatları ve günlük Dolar kuru takip edilerek, belli bir fiyat değişim farkında gümrüksüz rafineri tavan satış fiyatı elde ediliyor. Mesut Şahin   Haberler.com -  Enerji  Enerji Finans Ekonomi Haberler,
",0,ekonomi
"Kanal D ekranlarında yayınlanan Çok Güzel Hareketler programı, siyasi mizah içeren skeçleri nedeniyle gündemde kalmaya devam ediyor. Güldür Güldür Show, İstanbul Büyükşehir Belediye Başkanı Ekrem İmamoğlu'nun taklidine yer verildi. Kısa sürede sosyal medyada gündem olan skeç, alkış topladı.HAREKETLERİNİ BİREBİR TAKLİT ETTİGenç oyuncu kadrosuyla dikkat çeken ve gündeme dair konuları ele alan programın bir skecinde sınıftaki bir kavgayı yatıştıran başkan, diğer sınıfların yaramazlığından bahsederek sınıf arkadaşlarını sakinleştirdi. Başkanın sözleri ve hareketleri ise İstanbul Büyükşehir Belediye Başkanı Ekrem İmamoğlu'na benzetildi. Skeç, izleyenlerde de tam not aldı. Genel sanat yönetmenliğini Yılmaz Erdoğan'ın, sunuculuğunu Eser Yenenler'in yaptığı Çok Güzel Hareketler 2'nin kadrosunda Arif Güloğlu, Atakan Çelik, Ayşegül Yılmaz, Birsel Kılınçcı, Cemile Canyurt, Cenan Adıgüzel, Ebru Yücel ve Emre Arslan gibi oyuncular yer alıyor. Ecem Altan   Haberler.com -  Televizyon  Ekrem İmamoğlu Televizyon Magazin Kültür Sanat Haberler,
",2,magazin
"MHP Kocaeli Milletvekili Saffet Sancaklı, partisinden istifa etti. Yerel seçimlere ilişkin ""Eğer bu dönem MHP'ye bir belediye verilmezse,  seçim sürecinde Kocaeli'de beni göremezler"" resti nedeniyle Sancaklı'nın MHP'den istifası istenmişti. Konuyla ilgili MHP lideri Bahçeli de ""Futbol hayatında 3 büyük kulüpte oynama geleneğini siyasette de mi sürdürmek istiyor? Tercih kendisinindir"" şeklinde Sancaklı'ya tepki göstermişti.""GENEL BAŞKANIMIZIN TALİMATI DOĞRULTUSUNDA İSTİFA EDİYORUM""Saffet Sancaklı, sosyal medya hesabından yaptığı açıklamada, ""Mensubu olmaktan şeref duyduğum Milliyetçi Hareket Partisi üyeliğinden; yerel seçim sürecinde Cumhur İttifakını ve Partimizi her türlü tezvirat ve spekülasyondan uzak tutmak gayesiyle, Sayın Genel Başkanımızın talimatı doğrultusunda istifa ediyorum. Bu vesileyle; Milliyetçi Hareket Partisine ve Liderimiz Sayın Devlet Bahçeli Beye bağlılığımın tavizsiz bir şekilde devam edeceğini bildirir, kamuoyuna saygılarımı sunarım"" ifadelerini kullandı. NE OLDU?MHP Kocaeli Milletvekili Saffet Sancaklı'nın yerel seçimlerle ilgili çıkışı tartışmaları da beraberinde getirdi. MHP'ye Kocaeli'de belediye verilmezse saha çalışmalarına katılmayacağını söyleyen Sancaklı, ""Bu dönem MHP'ye en azından bir belediye vermezlerse, beni seçim sürecinde ve seçim çalışmalarında Kocaeli'de göremezler. Tabanımız bunu anlar. Bunu çok iyi anlayacak olan teşkilatlarımız emin olun sahada olmayacaktır. Cumhur ittifakı Kocaeli'de en az 4-5 belediyeyi kaybeder. Bu sefer umdukları gibi olmaz"" dedi.Kocaeli Milletvekili Saffet SancaklıBAHÇELİ: TERCİH KENDİSİNİNDİRÖte yandan MHP lideri Devlet Bahçeli, Sancaklı'nın sözleriyle ilgili dikkat çeken bir değerlendirmede bulundu. Bahçeli, ""Futbol hayatında 3 büyük kulüpte oynama geleneğini siyasette de mi sürdürmek istiyor? Tercih kendisinindir"" diye konuştu.SANCAKLI: ALGI OPERASYONUSosyal medya hesabından açıklama yapan MHP'li Saffet Sancaklı, söylemediği sözler üzerinden algı operasyonu yapıldığını savundu. Sancaklı, açıklamasında şu ifadelere yer verdi: ""Bugün bir takım taraflı medya organlarında, söylemediğim sözler üzerinden tamamen yalanlarla Cumhur İttifakına karşı yapılan olumsuz algı operasyonlarını büyük bir şaşkınlıkla takip ettim. Yalan ve maksatlı haberleri yapanlarla Türk adaleti önünde hesaplaşacağımı da özellikle belirtmek isterim.""DÜN OLDUĞU GİBİ BUGÜN DE BAHÇELİ'NİN EMRİNDEYİM""Dün olduğu gibi bugün de Bilge Liderimiz Sayın Devlet Bahçeli Beyefendi'nin emrinde olduğumu, Milliyetçi Hareket Partisi'nin ve Cumhur İttifakı'nın başarısı için büyük bir özveriyle çalışmaya devam ettiğimi belirtmek isterim. Cumhur İttifakı'nın başarılarını çekemeyenler, Türk ve Türkiye Yüzyılı hedefine set çekmeye çalışanlar bilsinler ki; Liderimiz Sayın Devlet Bahçeli Beyefendi'nin ifade ettikleri gibi 'Türkiye 31 Mart seçimlerinde bir kez daha al bayrakta buluşacak, Türk milleti Cumhur İttifakı'nda uzlaşacak. MHP ve Cumhur İttifakı 31 Mart seçimlerine damga vuracaktır.' Kamuoyuna saygılarımla sunarım.""SANCAKLI'NIN MHP'DEN İSTİFASI İSTENDİSancaklı'nın sözleri MHP Genel Başkanı Devlet Bahçeli'nin de tepkisini çekerken, yeni gelişme yaşandı. Sancaklı'nın MHP'den istifası istendi. MHP Genel Başkan Yardımcısı Saffet Sancaklı yaptığı açıklamada, ""Kocaeli Milletvekili Saffet Sancaklı'nın Milliyetçi Hareket Partisi'nden istifası istenmiştir. Kamuoyuna saygıyla duyurulur."" ifadelerini kullandı.Haberler.com /  Emre İliksiz -  Politika  Devlet Bahçeli Politika Güncel Haberler,
",4,siyaset
"Klibinde oynattığı Mehmet Ali Erbil tarafından taciz edildiğini ileri sürerek gündeme gelen ve sonrasında eşiyle yaşadığı tehdit ve darp iddiasıyla gündeme gelen güzellik merkezi sahibi Ece Ronay adeta suç makinası çıktı. Ronay'ın tehdit, dolandırıcılık ve alkollü araç kullanma gibi birçok dosyası bulunuyor.DOLANDIRICILIKTAN ADAM YARALAMAYA KADAR HER ŞEY VARGazeteci İsmail Saymaz, köşe yazısında Ece Ronay'la ilgili çarpıcı bilgiler verdi. Ronay'ın tam adının Ece Ronay Taylan olduğunu söyleyen Saymaz, suç dosyalarını da bir bir sıralayarak sözlerine şöyle devam etti: ""GBT kaydına göre 2014, 2015 ve 2016 yıllarında üç kez evden kaçtı. Ailesi karakola 'Kayıp Şahıs' başvurusunda bulundu. 2018'de İzmir'de alkollü araç kullanmaktan... 2019'da Gebze'de dolandırıcılıktan... 2020'de İstanbul'da kasten yaralamadan; Gaziantep'te Türk Milleti'ni, Cumhuriyeti, devletin kurum ve kuruluşlarını aşağılamaktan... 2023'te Kocaeli'de yaralama, tehdit, hakaret, mala zarardan ve İstanbul'da eski eşini tehdit, darp, mala zarar ve genel güvenliği kasten tehlikeye sokmaktan işlem yapıldı"" ifadelerini kullandı. ECE RONAY: BEN SİZİNLE BAŞ EDEMEM, AYIPTIR YA Hakkındaki suçların ortaya çıkmasıyla Instagram hesabından isyan eden Ece Ronay, ""Kara paradan yırttık şükürler olsun dedik fil tarihine kadar gittiniz. Sıkılmadınız mı ben çok sıkıldım. Alkollü araç kullanmamı bir sabıka kaydı olarak gösterdiniz, evden 3 kere kaçmış diye 'suç makinası' dediniz. Ben bunu zaten anlattım. Siz büyüksünüz ben sizinle baş edemiyorum. Bir insanın üzülme sınırı da bir yere kadar. Ne olursunuz ayıptır ya"" dedi.  Ecem Altan   Haberler.com -  Hukuk  Ece Ronay Hukuk Magazin Güncel Haberler,
",4,siyaset
"Dünyanın en zengin aileleri belli oldu. Bloomberg'in yıllık zenginler sıralamasında dikkat çeken isimler yer aldı. Listenin ilk sırasında Türkiye'nin de yakından tanıdığı bir aile yer aldı. Birleşik Arap Emirliği'ni yöneten Kraliyet ailesi 305 milyar dolarlık servetiyle listenin zirvesinde yer aldı.İşte dünyanın en zengin 10 ailesi:  10. REUTERS AİLESİ Şirket: Thomson ReutersSektör: MedyaÜlke: KanadaVarlık: 71,1 milyar dolarNesil: 39. WERTHEİMER AİLESİ Şirket: ChanelSektör: Lüks markaÜlke: Fransa Varlık: 89,6 milyar dolarNesil: 38. AMBANİ AİLESİ Şirket: RelianceSektör: SanayiÜlke: HindistanVarlık: 89,9 milyar dolarNesil: 37. SUUD AİLESİ Şirket: Kraliyet ailesiSektör: SanayiÜlke: Suudi ArabistanVarlık: 112 milyar dolarNesil: 36. KOCH AİLESİ Şirket: KochSektör: SanayiÜlke: ABDVarlık: 127,3 milyar dolarNesil: 35. EL SANİ AİLESİ Şirket: Kraliyet ailesiSektör: SanayiÜlke: KatarVarlık: 133 milyar dolarNesil: 84. MARS AİLESİ Şirket: Mars Sektör: ŞekerlemeÜlke: ABD Varlık: 141,9 milyar dolarNesil: 53. HERMES AİLESİ Şirket: HermesSektör: Lüks markaÜlke: Fransa Varlık: 150,9 milyar dolar Nesil:62. WALTON AİLESİ Şirket: WalmartSektör: Perakende Ülke: ABDVarlık: 259,7 milyar dolarNesil: 31. NAHYAN AİLESİ Şirket: Kraliyet AilesiSektör: SanayiÜlke: Birleşik Arap EmirliğiVarlık: 305 milyar dolarNesil: 3 Kaynak: Haberler.com /  Ekonomi  Suudi Arabistan Finans Dünya Ekonomi Güncel Haberler,
",0,ekonomi
"Süper Lig devi Beşiktaş Başkanı Hasan Arat, Fenerbahçe derbisi öncesinde Beşiktaş YouTube kanalının canlı yayınına konuk oldu.""BEŞİKTAŞ'I GÜZEL GÜNLERE GÖTÜRECEĞİZ""Fenerbahçe derbisi için konuşan Arat ""Beşiktaş'ı güzel günlere götüreceğiz. Zor zamanlar da olacak. Fenerbahçe maçı çok önemli. Ümraniye'de dün takımı ziyaret ettik. 5 dakika 'Merhaba' dedik ve ayrıldık. İdareciler olarak biz işlerimize yoğunlaşacağız"" dedi. ""ALİ KOÇ GELEMİYOR, BAŞARILAR DİLEDİ""Fenerbahçe Başkanı Ali Koç ile telefonda görüştüklerini söyleyen Arat, ""Ali Koç şimdi aradı. Bunlar olması gereken şeyler. Gelemiyor, başarılar diledi. Ben de onlara başarılar diledim. Bu camialar çok büyük, herkese örnek olmamız lazım"" şeklinde konuştu. Kaynak: Haberler.com /  Spor  Fenerbahçe Hasan Arat Beşiktaş Ali Koç Spor Haberler,
",5,spor
"Derbide Beşiktaş'ı 3-1 yenen  Fenerbahçe, mücadelenin hemen ardından sosyal medya hesabından ezeli rakibine gönderme yaptı.GÖNDERME YAPTILARSarı-lacivertliler, derbi galibiyeti sonrası sosyal medya hesaplarından Beşiktaş'ın maçtan önce yaptığı paylaşımı alıntıladı.ORASI BEŞİKTAŞ Beşiktaş'ın maçtan önce yaptığı, ""Burası Beşiktaş"" paylaşımına karşılık  Fenerbahçe, ""Orası Beşiktaş"" cevabını verdi.İşte Fenerbahçe'nin paylaşımı; Kaynak: Haberler.com /  Spor  Fenerbahçe Beşiktaş Spor Haberler,
",5,spor
"Trendyol Süper Lig'in 15. haftasında büyük heyecana sahne olacak Beşiktaş-  Fenerbahçe derbisinde siyah-beyazlı takımın yıldızı Aboubakar ve Colley'in ilk 11 olmayacağı öğrenildi.İLK 11'DE YOKLARbeIN Sports'un haberine göre, Beşiktaş'ta Vincent Aboubakar ve Omar Colley derbide 11'de yer almayacak. Rıza Çalımbay, Aboubakar'ı hamle oyuncusu olarak kullanma kararı aldı.KARA KARTAL EKSİKBeşiktaş'ta 4 futbolcu derbide forma giyemeyecek. Siyah-beyazlı kulüpten yapılan açıklamada, tedavileri devam eden Arthur Masuaku, Valentin Rosier, Milot Rashica ve Yakup Arda Kılıç'ın Fenerbahçe maçının kadrosunda yer alamayacağı belirtildi. Kaynak: Haberler.com /  Spor  Fenerbahçe Beşiktaş Spor Haberler,
",5,spor
